Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Antiguitat,Nombre_turismes
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Menys d'un any d'antiguitat,277
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,Menys d'un any d'antiguitat,197
2018,10,Sant Martí,68,el Poblenou,Menys d'un any d'antiguitat,927
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Menys d'un any d'antiguitat,266
2018,10,Sant Martí,70,el Besòs i el Maresme,Menys d'un any d'antiguitat,295
2018,10,Sant Martí,71,Provençals del Poblenou,Menys d'un any d'antiguitat,366
2018,10,Sant Martí,72,Sant Martí de Provençals,Menys d'un any d'antiguitat,449
2018,10,Sant Martí,73,la Verneda i la Pau,Menys d'un any d'antiguitat,455
2018,99,No consta,99,No consta,Menys d'un any d'antiguitat,5
2018,1,Ciutat Vella,1,el Raval,1 any,227
2018,1,Ciutat Vella,2,el Barri Gòtic,1 any,197
2018,1,Ciutat Vella,3,la Barceloneta,1 any,195
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 any,205
2018,2,Eixample,5,el Fort Pienc,1 any,518
2018,2,Eixample,6,la Sagrada Família,1 any,830
2018,2,Eixample,7,la Dreta de l'Eixample,1 any,1188
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 any,871
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,1 any,1052
2018,2,Eixample,10,Sant Antoni,1 any,573
2018,3,Sants-Montjuïc,11,el Poble Sec,1 any,428
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 any,716
2018,3,Sants-Montjuïc,13,la Marina de Port,1 any,709
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,1 any,178
2018,3,Sants-Montjuïc,15,Hostafrancs,1 any,203
2018,3,Sants-Montjuïc,16,la Bordeta,1 any,321
2018,3,Sants-Montjuïc,17,Sants - Badal,1 any,354
2018,3,Sants-Montjuïc,18,Sants,1 any,623
2018,4,Les Corts,19,les Corts,1 any,1176
2018,4,Les Corts,20,la Maternitat i Sant Ramon,1 any,524
2018,4,Les Corts,21,Pedralbes,1 any,411
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 any,133
2018,5,Sarrià-Sant Gervasi,23,Sarrià,1 any,663
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 any,540
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 any,749
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 any,1592
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 any,593
2018,6,Gràcia,28,Vallcarca i els Penitents,1 any,311
2018,6,Gràcia,29,el Coll,1 any,130
2018,6,Gràcia,30,la Salut,1 any,263
2018,6,Gràcia,31,la Vila de Gràcia,1 any,666
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 any,630
2018,7,Horta-Guinardó,33,el Baix Guinardó,1 any,403
2018,7,Horta-Guinardó,34,Can Baró,1 any,143
2018,7,Horta-Guinardó,35,el Guinardó,1 any,634
2018,7,Horta-Guinardó,36,la Font d'en Fargues,1 any,211
2018,7,Horta-Guinardó,37,el Carmel,1 any,426
2018,7,Horta-Guinardó,38,la Teixonera,1 any,209
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,1 any,125
2018,7,Horta-Guinardó,40,Montbau,1 any,87
2018,7,Horta-Guinardó,41,la Vall d'Hebron,1 any,154
2018,7,Horta-Guinardó,42,la Clota,1 any,17
2018,7,Horta-Guinardó,43,Horta,1 any,538
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1 any,388
2018,8,Nou Barris,45,Porta,1 any,354
2018,8,Nou Barris,46,el Turó de la Peira,1 any,196
2018,8,Nou Barris,47,Can Peguera,1 any,29
2018,8,Nou Barris,48,la Guineueta,1 any,279
2018,8,Nou Barris,49,Canyelles,1 any,146
2018,8,Nou Barris,50,les Roquetes,1 any,225
2018,8,Nou Barris,51,Verdun,1 any,162
2018,8,Nou Barris,52,la Prosperitat,1 any,390
2018,8,Nou Barris,53,la Trinitat Nova,1 any,82
2018,8,Nou Barris,54,Torre Baró,1 any,34
2018,8,Nou Barris,55,Ciutat Meridiana,1 any,140
2018,8,Nou Barris,56,Vallbona,1 any,18
2018,9,Sant Andreu,57,la Trinitat Vella,1 any,136
2018,9,Sant Andreu,58,Baró de Viver,1 any,40
2018,9,Sant Andreu,59,el Bon Pastor,1 any,346
2018,9,Sant Andreu,60,Sant Andreu,1 any,1086
2018,9,Sant Andreu,61,la Sagrera,1 any,502
2018,9,Sant Andreu,62,el Congrés i els Indians,1 any,206
2018,9,Sant Andreu,63,Navas,1 any,413
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,1 any,618
2018,10,Sant Martí,65,el Clot,1 any,482
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1 any,281
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,1 any,435
2018,10,Sant Martí,68,el Poblenou,1 any,750
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1 any,307
2018,10,Sant Martí,70,el Besòs i el Maresme,1 any,345
2018,10,Sant Martí,71,Provençals del Poblenou,1 any,512
2018,10,Sant Martí,72,Sant Martí de Provençals,1 any,616
2018,10,Sant Martí,73,la Verneda i la Pau,1 any,474
2018,99,No consta,99,No consta,1 any,4
2018,1,Ciutat Vella,1,el Raval,2 anys,227
2018,1,Ciutat Vella,2,el Barri Gòtic,2 anys,670
2018,1,Ciutat Vella,3,la Barceloneta,2 anys,208
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",2 anys,198
2018,2,Eixample,5,el Fort Pienc,2 anys,487
2018,2,Eixample,6,la Sagrada Família,2 anys,789
2018,2,Eixample,7,la Dreta de l'Eixample,2 anys,1082
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2 anys,788
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,2 anys,1182
2018,2,Eixample,10,Sant Antoni,2 anys,513
2018,3,Sants-Montjuïc,11,el Poble Sec,2 anys,378
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2 anys,228
2018,3,Sants-Montjuïc,13,la Marina de Port,2 anys,518
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,2 anys,162
2018,3,Sants-Montjuïc,15,Hostafrancs,2 anys,203
2018,3,Sants-Montjuïc,16,la Bordeta,2 anys,283
2018,3,Sants-Montjuïc,17,Sants - Badal,2 anys,283
2018,3,Sants-Montjuïc,18,Sants,2 anys,573
2018,4,Les Corts,19,les Corts,2 anys,1119
2018,4,Les Corts,20,la Maternitat i Sant Ramon,2 anys,461
2018,4,Les Corts,21,Pedralbes,2 anys,417
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2 anys,98
2018,5,Sarrià-Sant Gervasi,23,Sarrià,2 anys,579
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,2 anys,538
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2 anys,698
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2 anys,1619
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,2 anys,582
2018,6,Gràcia,28,Vallcarca i els Penitents,2 anys,279
2018,6,Gràcia,29,el Coll,2 anys,96
2018,6,Gràcia,30,la Salut,2 anys,235
2018,6,Gràcia,31,la Vila de Gràcia,2 anys,635
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,2 anys,499
2018,7,Horta-Guinardó,33,el Baix Guinardó,2 anys,371
2018,7,Horta-Guinardó,34,Can Baró,2 anys,134
2018,7,Horta-Guinardó,35,el Guinardó,2 anys,526
2018,7,Horta-Guinardó,36,la Font d'en Fargues,2 anys,179
2018,7,Horta-Guinardó,37,el Carmel,2 anys,404
2018,7,Horta-Guinardó,38,la Teixonera,2 anys,207
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,2 anys,123
2018,7,Horta-Guinardó,40,Montbau,2 anys,66
2018,7,Horta-Guinardó,41,la Vall d'Hebron,2 anys,116
2018,7,Horta-Guinardó,42,la Clota,2 anys,19
2018,7,Horta-Guinardó,43,Horta,2 anys,399
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,2 anys,408
2018,8,Nou Barris,45,Porta,2 anys,316
2018,8,Nou Barris,46,el Turó de la Peira,2 anys,151
2018,8,Nou Barris,47,Can Peguera,2 anys,26
2018,8,Nou Barris,48,la Guineueta,2 anys,230
2018,8,Nou Barris,49,Canyelles,2 anys,135
2018,8,Nou Barris,50,les Roquetes,2 anys,184
2018,8,Nou Barris,51,Verdun,2 anys,150
2018,8,Nou Barris,52,la Prosperitat,2 anys,343
2018,8,Nou Barris,53,la Trinitat Nova,2 anys,72
2018,8,Nou Barris,54,Torre Baró,2 anys,38
2018,8,Nou Barris,55,Ciutat Meridiana,2 anys,111
2018,8,Nou Barris,56,Vallbona,2 anys,19
2018,9,Sant Andreu,57,la Trinitat Vella,2 anys,104
2018,9,Sant Andreu,58,Baró de Viver,2 anys,39
2018,9,Sant Andreu,59,el Bon Pastor,2 anys,283
2018,9,Sant Andreu,60,Sant Andreu,2 anys,993
2018,9,Sant Andreu,61,la Sagrera,2 anys,483
2018,9,Sant Andreu,62,el Congrés i els Indians,2 anys,209
2018,9,Sant Andreu,63,Navas,2 anys,355
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,2 anys,564
2018,10,Sant Martí,65,el Clot,2 anys,453
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,2 anys,292
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,2 anys,241
2018,10,Sant Martí,68,el Poblenou,2 anys,615
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,2 anys,290
2018,10,Sant Martí,70,el Besòs i el Maresme,2 anys,258
2018,10,Sant Martí,71,Provençals del Poblenou,2 anys,390
2018,10,Sant Martí,72,Sant Martí de Provençals,2 anys,403
2018,10,Sant Martí,73,la Verneda i la Pau,2 anys,439
2018,99,No consta,99,No consta,2 anys,0
2018,1,Ciutat Vella,1,el Raval,3 anys,232
2018,1,Ciutat Vella,2,el Barri Gòtic,3 anys,271
2018,1,Ciutat Vella,3,la Barceloneta,3 anys,151
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3 anys,157
2018,2,Eixample,5,el Fort Pienc,3 anys,451
2018,2,Eixample,6,la Sagrada Família,3 anys,705
2018,2,Eixample,7,la Dreta de l'Eixample,3 anys,977
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,3 anys,742
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,3 anys,1238
2018,2,Eixample,10,Sant Antoni,3 anys,472
2018,3,Sants-Montjuïc,11,el Poble Sec,3 anys,357
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,3 anys,166
2018,3,Sants-Montjuïc,13,la Marina de Port,3 anys,473
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,3 anys,153
2018,3,Sants-Montjuïc,15,Hostafrancs,3 anys,196
2018,3,Sants-Montjuïc,16,la Bordeta,3 anys,260
2018,3,Sants-Montjuïc,17,Sants - Badal,3 anys,320
2018,3,Sants-Montjuïc,18,Sants,3 anys,564
2018,4,Les Corts,19,les Corts,3 anys,993
2018,4,Les Corts,20,la Maternitat i Sant Ramon,3 anys,458
2018,4,Les Corts,21,Pedralbes,3 anys,398
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",3 anys,123
2018,5,Sarrià-Sant Gervasi,23,Sarrià,3 anys,589
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,3 anys,457
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,3 anys,591
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,3 anys,1275
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,3 anys,531
2018,6,Gràcia,28,Vallcarca i els Penitents,3 anys,293
2018,6,Gràcia,29,el Coll,3 anys,105
2018,6,Gràcia,30,la Salut,3 anys,217
2018,6,Gràcia,31,la Vila de Gràcia,3 anys,585
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,3 anys,484
2018,7,Horta-Guinardó,33,el Baix Guinardó,3 anys,333
2018,7,Horta-Guinardó,34,Can Baró,3 anys,120
2018,7,Horta-Guinardó,35,el Guinardó,3 anys,514
2018,7,Horta-Guinardó,36,la Font d'en Fargues,3 anys,185
2018,7,Horta-Guinardó,37,el Carmel,3 anys,362
2018,7,Horta-Guinardó,38,la Teixonera,3 anys,155
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,3 anys,104
2018,7,Horta-Guinardó,40,Montbau,3 anys,77
2018,7,Horta-Guinardó,41,la Vall d'Hebron,3 anys,120
2018,7,Horta-Guinardó,42,la Clota,3 anys,10
2018,7,Horta-Guinardó,43,Horta,3 anys,403
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,3 anys,351
2018,8,Nou Barris,45,Porta,3 anys,281
2018,8,Nou Barris,46,el Turó de la Peira,3 anys,155
2018,8,Nou Barris,47,Can Peguera,3 anys,27
2018,8,Nou Barris,48,la Guineueta,3 anys,244
2018,8,Nou Barris,49,Canyelles,3 anys,133
2018,8,Nou Barris,50,les Roquetes,3 anys,167
2018,8,Nou Barris,51,Verdun,3 anys,132
2018,8,Nou Barris,52,la Prosperitat,3 anys,334
2018,8,Nou Barris,53,la Trinitat Nova,3 anys,63
2018,8,Nou Barris,54,Torre Baró,3 anys,29
2018,8,Nou Barris,55,Ciutat Meridiana,3 anys,101
2018,8,Nou Barris,56,Vallbona,3 anys,15
2018,9,Sant Andreu,57,la Trinitat Vella,3 anys,99
2018,9,Sant Andreu,58,Baró de Viver,3 anys,32
2018,9,Sant Andreu,59,el Bon Pastor,3 anys,248
2018,9,Sant Andreu,60,Sant Andreu,3 anys,964
2018,9,Sant Andreu,61,la Sagrera,3 anys,446
2018,9,Sant Andreu,62,el Congrés i els Indians,3 anys,165
2018,9,Sant Andreu,63,Navas,3 anys,308
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,3 anys,469
2018,10,Sant Martí,65,el Clot,3 anys,408
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,3 anys,242
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,3 anys,179
2018,10,Sant Martí,68,el Poblenou,3 anys,475
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,3 anys,276
2018,10,Sant Martí,70,el Besòs i el Maresme,3 anys,238
2018,10,Sant Martí,71,Provençals del Poblenou,3 anys,480
2018,10,Sant Martí,72,Sant Martí de Provençals,3 anys,352
2018,10,Sant Martí,73,la Verneda i la Pau,3 anys,405
2018,99,No consta,99,No consta,3 anys,2
2018,1,Ciutat Vella,1,el Raval,4 anys,157
2018,1,Ciutat Vella,2,el Barri Gòtic,4 anys,688
2018,1,Ciutat Vella,3,la Barceloneta,4 anys,116
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",4 anys,135
2018,2,Eixample,5,el Fort Pienc,4 anys,377
2018,2,Eixample,6,la Sagrada Família,4 anys,592
2018,2,Eixample,7,la Dreta de l'Eixample,4 anys,754
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,4 anys,585
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,4 anys,879
2018,2,Eixample,10,Sant Antoni,4 anys,419
2018,3,Sants-Montjuïc,11,el Poble Sec,4 anys,282
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,4 anys,145
2018,3,Sants-Montjuïc,13,la Marina de Port,4 anys,358
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,4 anys,119
2018,3,Sants-Montjuïc,15,Hostafrancs,4 anys,139
